@code{.c}
================================================
  NLOC    CCN   token  PARAM  length  location
    235      57.0     8.5      481.0         4     ..\src\qxk\qxk_mutex.c
    148      35.2     4.5      220.2         4     ..\src\qxk\qxk_sema.c
    330      24.8     3.7      159.5        13     ..\src\qxk\qxk_xthr.c

=============================================================================================================
No thresholds exceeded (cyclomatic_complexity > 20 or length > 500 or nloc > 1000000 or parameter_count > 10)
==========================================================================================
Total nloc   Avg.NLOC  AvgCCN  Avg.token   Fun Cnt  Warning cnt   Fun Rt   nloc Rt
------------------------------------------------------------------------------------------
      4144      24.6     4.2      152.1      128            0      0.00    0.00
@endcode
